App Package Name,App Name,App Category,Rating Count,Download Count,Score,S5,S4,S3,S2,S1,Vendor
com.asus.email,華碩電子郵件,通訊,177, 100000 - 500000 ,4.3,120,23,15,2,17,ZenUI  ASUS Computer Inc.
com.asus.task,Do It Later,生產應用,144, 100000 - 500000 ,4.5,104,21,9,3,7,ZenUI  ASUS Computer Inc.
